Time,Acceleration
7.38,0.35032
7.39,0.36064
7.4,0.2926
7.41,0.22691
7.42,0.16624
7.43,0.1077
7.44,0.08953
7.45,0.07284
7.46,0.05334
7.47,0.03483
7.48,0.01693
7.49,-0.00028
7.5,-0.01507
7.51,-0.02932
7.52,-0.03472
7.53,-0.03994
7.54,-0.03799
7.55,-0.0365
7.56,-0.03225
7.57,-0.02879
7.58,-0.02406
7.59,-0.02025
7.6,-0.02246
7.61,-0.02518
7.62,-0.03337
7.63,-0.04143
7.64,-0.05699
7.65,-0.07315
7.66,-0.09298
7.67,-0.11443
7.68,-0.1344
7.69,-0.15583
7.7,-0.1811
7.71,-0.20769
7.72,-0.21745
7.73,-0.22923
7.74,-0.23808
7.75,-0.24902
7.76,-0.23306
7.77,-0.21946
7.78,-0.19508
7.79,-0.17109
7.8,-0.14489
7.81,-0.11716
7.82,-0.07646
7.83,-0.03394
7.84,0.0549
7.85,0.14767
7.86,0.15128
7.87,0.16017
7.88,0.08667
7.89,0.0151
7.9,-0.02657
7.91,-0.0687
7.92,-0.10613
7.93,-0.14461
7.94,-0.17488
7.95,-0.2084
7.96,-0.23029
7.97,-0.25607
7.98,-0.26427
7.99,-0.27593
8,-0.27547
8.01,-0.27965
8.02,-0.27918
8.03,-0.28105
8.04,-0.26329
8.05,-0.24752
8.06,-0.23042
8.07,-0.21634
8.08,-0.076
8.09,0.06752
8.1,0.17741
8.11,0.29472
8.12,0.28611
8.13,0.28226
8.14,0.29165
8.15,0.30497
8.16,0.25575
8.17,0.21076
8.18,0.17463
8.19,0.1412
8.2,0.11985
8.21,0.10063
8.22,0.08173
8.23,0.06362
8.24,0.02656
8.25,-0.01182
8.26,-0.03593
8.27,-0.06161
8.28,-0.08216
8.29,-0.10482
8.3,-0.12097
8.31,-0.14033
8.32,-0.1496
8.33,-0.16081
8.34,-0.15707
8.35,-0.15473
8.36,-0.13209
8.37,-0.11125
8.38,-0.08586
8.39,-0.06193
8.4,-0.03229
8.41,-0.00281
8.42,0.02312
8.43,0.04939
8.44,0.06631
8.45,0.0836
8.46,0.09506
8.47,0.10758
8.48,0.11829
8.49,0.13054
8.5,0.12988
8.51,0.13071
8.52,0.12474
8.53,0.12022
8.54,0.10987
8.55,0.10072
8.56,0.09018
8.57,0.08071
8.58,0.06135
8.59,0.0424
8.6,0.02102
8.61,-0.00064
8.62,-0.01577
8.63,-0.03169
8.64,-0.04715
8.65,-0.06378
8.66,-0.06693
8.67,-0.07182
8.68,-0.07019
8.69,-0.07039
8.7,-0.06905
8.71,-0.06955
8.72,-0.06226
8.73,-0.05659
8.74,-0.0398
8.75,-0.02423
8.76,-0.0186
8.77,-0.01436
8.78,-0.02821
8.79,-0.04247
8.8,-0.05911
8.81,-0.07618
8.82,-0.07966
8.83,-0.08214
8.84,-0.07944
8.85,-0.07576
8.86,-0.08
8.87,-0.08335
8.88,-0.08014
8.89,-0.07568
8.9,-0.06874
8.91,-0.06046
8.92,-0.04559
8.93,-0.02915
8.94,-0.00414
8.95,0.022
8.96,0.04201
8.97,0.06324
8.98,0.07201
8.99,0.08176
9,0.09281
9.01,0.10467
9.02,0.11769
9.03,0.13132
9.04,0.13134
9.05,0.1318
9.06,0.10893
9.07,0.08628
9.08,0.06168
9.09,0.03718
9.1,0.02085
9.11,0.00486
9.12,-0.00399
9.13,-0.01301
9.14,-0.01931
9.15,-0.02585
9.16,-0.04128
9.17,-0.05692
9.18,-0.07243
9.19,-0.08827
9.2,-0.10205
9.21,-0.11601
9.22,-0.12575
9.23,-0.13614
9.24,-0.14032
9.25,-0.14522
9.26,-0.14718
9.27,-0.14986
9.28,-0.15215
9.29,-0.1553
9.3,-0.15583
9.31,-0.15705
9.32,-0.15694
9.33,-0.15752
9.34,-0.15579
9.35,-0.15466
9.36,-0.15177
9.37,-0.14962
9.38,-0.13736
9.39,-0.12571
9.4,-0.09536
9.41,-0.06564
9.42,-0.02728
9.43,0.01068
9.44,0.06892
9.45,0.12693
9.46,0.14097
9.47,0.15493
9.48,0.11593
9.49,0.07698
9.5,0.05468
9.51,0.03227
9.52,0.01895
9.53,0.00598
9.54,0.01801
9.55,0.03048
9.56,0.05574
9.57,0.08141
9.58,0.10612
9.59,0.13148
9.6,0.13546
9.61,0.13984
9.62,0.10985
9.63,0.08029
9.64,0.05134
9.65,0.02275
9.66,0.00307
9.67,-0.01634
9.68,-0.01456
9.69,-0.01249
9.7,0.01299
9.71,0.03858
9.72,0.06356
9.73,0.08855
9.74,0.10082
9.75,0.11308
9.76,0.11521
9.77,0.11741
9.78,0.11649
9.79,0.11573
9.8,0.10565
9.81,0.09544
9.82,0.08133
9.83,0.06724
9.84,0.06366
9.85,0.06022
9.86,0.06054
9.87,0.0608
9.88,0.06069
9.89,0.06067
9.9,0.06795
9.91,0.07521
9.92,0.08417
9.93,0.09324
9.94,0.09531
9.95,0.09708
9.96,0.0851
9.97,0.07318
9.98,0.05335
9.99,0.03367
10,0.01525
10.01,-0.00326
10.02,-0.02067
10.03,-0.03813
10.04,-0.04333
10.05,-0.04901
10.06,-0.05208
10.07,-0.05511
10.08,-0.05775
10.09,-0.06049
10.1,-0.06486
10.11,-0.06944
10.12,-0.0731
10.13,-0.07689
10.14,-0.07772
10.15,-0.07879
10.16,-0.07441
10.17,-0.07006
10.18,-0.05005
10.19,-0.03007
